cave,country,countryCode,county,id,latitude,locations,longitude,name,names,region,riggings,massifs,massif
Doyle Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90408,37.9102918,,-92.10058183,Doyle Cave,Doyle Cave,Missouri,,,
Dye Cave #1,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90409,37.82340536,,-92.29498074,Dye Cave #1,Dye Cave #1,Missouri,,,
Dye Cave #2,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90410,37.86265459,,-92.29429191,Dye Cave #2,Dye Cave #2,Missouri,,,
Finley Cave #1,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90411,37.83496815,,-92.29275916,Finley Cave #1,Finley Cave #1,Missouri,,,
Fish Dam Creek Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90412,37.89274821,,-92.0762143,Fish Dam Creek Cave,Fish Dam Creek Cave,Missouri,,,
Frank Patton Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90413,37.93075185,,-92.13588259,Frank Patton Cave,Frank Patton Cave,Missouri,,,
Freeman Cave Little,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90414,37.72304456,,-92.0609425,Freeman Cave Little,Freeman Cave Little,Missouri,,,
Gier Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90415,37.79889,,-92.38611,Gier Cave,Gier Cave,Missouri,,,
Great Spirit Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90416,37.756941,,-92.247992,Great Spirit Cave,Great Spirit Cave,Missouri,,,
Grempeznski Cave #1,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90417,37.97510987,,-92.03531485,Grempeznski Cave #1,Grempeznski Cave #1,Missouri,,,
